dataset,N,Service,p,cover,LowerBound,Sol_Form,gap %,time,MEM GB,#subareas_arrond,#subareas_EPCI,#subareas_canton,#subareas_commune,Tol gap Solution
original ,2037,cinema,173,commune,3078993489.23,3097220910.69,0.37,,,18,44,122,173,
original ,2037,cinema,188,commune,2996567153.04,3007983179.31,0.36,,,18,44,126,188,
original ,2037,cinema,192,commune,2976759573.77,2987624088.80,0.36,,,18,44,128,192,
original ,2037,cinema,211,commune,2896783471.48,2897178686.36,0.01,,,18,47,134,211,
original ,2037,cinema,230,commune,,2826225592.31,,8990,,18,48,137,230,
original ,2037,cinema,250,commune,,2765989856.35,,15991,,18,49,142,250,
original ,2037,cinema,288,commune,,2679314364.16,,2053,,18,51,156,288,
original ,2037,cinema,326,commune,,2617318284.90,,1865,,18,51,166,326,
original ,2037,cinema,500,commune,,2489812252.98,,363,,18,51,186,500,
original ,2037,cinema,682,commune,,2452354037.39,,330,,18,51,188,682,
original ,2037,cinema,767,commune,,2446558870.35,,409,,18,51,188,767,
original ,2037,cinema,852,commune,,2444560118.62,,360,,18,51,188,852,
original ,2037,cinema,937,commune,,1416423318.21,,557,,18,51,188,852,
original ,2037,cinema,1022,commune,,1290547164.67,,364,,18,51,188,852,
