METHOD,SERVICE,SUBAREA,P,SOLUTION,STATUS,REL_GAP,FINAL_TIME,BEST_BOUND_EXACT,GAP_REAL
exact,poste,canton,544,76895282.1435902,Optimal,0.000066076162101,483.800139188767,,
exact,poste,canton,612,76192339.3661123,Optimal,0.000080505809242,651.090406179428,,
exact,poste,canton,681,75733308.8219822,Optimal,0.000052477587645,361.121519088745,,
exact,poste,canton,749,75443619.451308,Optimal,0.000081878530135,466.786623954773,,
exact,poste,canton,817,75251167.6497482,Optimal,0.000046560150419,329.916229963303,,
exact,poste,canton,855,75142361.0549724,Optimal,0.00008897829427,232.15089392662,,
exact,poste,commune,476,86473385.3273763,Optimal,0.000062751586914,302.699756860733,,
exact,poste,commune,544,86178481.9823049,Optimal,0.000074017457742,540.912003040314,,
exact,poste,commune,612,86049525.6512271,Optimal,0.000071913057617,548.710281848908,,
exact,poste,commune,681,86001195.6342123,Optimal,0.000083413136956,286.985687971115,,
exact,poste,commune,749,85998737.942213,Optimal,0.000086444439434,245.19341802597,,
exact,poste,commune,817,85997800.5173652,Optimal,0.000088979940861,121.258062124252,,
exact,poste,commune,855,85996762.6710678,Optimal,0.000084726273541,269.364069223404,,
rssv_exact,mat,null,26,65612734.4860731,Feasible,0.062899796420989,3600,,
rssv_exact,mat,null,30,57539711.3399764,Feasible,0.073249120337965,3600,,
rssv_exact,mat,null,33,54023156.0630186,Feasible,0.164523985511463,3600,,
rssv_exact,mat,null,37,46712361.2504129,Feasible,0.10576104171473,3600,,
rssv_exact,mat,null,41,46590461.7094398,Feasible,0.174586945805178,3600,,
rssv_exact,mat,null,44,41040555.1283128,Feasible,0.032757578751634,3600,,
rssv_exact,mat,null,48,38431988.0407443,Feasible,0.018064405452918,3600,,
rssv_exact,mat,arrond,26,71929492.2225764,Feasible,0.054967678506296,3294.49058389664,,
rssv_exact,mat,arrond,30,61034667.5594825,Feasible,0.129900150089138,3296.39051604271,,
rssv_exact,mat,arrond,33,62856898.9853268,Feasible,0.327380671694529,3295.5419549942,,
rssv_exact,mat,arrond,37,56191300.3974523,Feasible,0.285081937317896,3294.30101299286,,
rssv_exact,mat,arrond,41,48749597.2025766,Feasible,0.249712242489141,3295.39596199989,,
rssv_exact,mat,arrond,44,44896317.2267646,Feasible,0.212161348784246,3294.38146400452,,
rssv_exact,mat,arrond,48,40294524.5664445,Feasible,0.079935055082322,3295.55305600166,,
rssv_exact,mat,EPCI,26,93955918.2548439,Feasible,0.042075362507346,3295.66732811928,,
rssv_exact,mat,EPCI,30,87321858.8504085,Feasible,0.079034677749398,3292.00312399864,,
rssv_exact,mat,EPCI,33,89247960.8693981,Feasible,0.074373185052373,3296.65108799934,,
rssv_exact,mat,EPCI,37,86958697.5250671,Feasible,0.030889508583009,3292.28845596313,,
rssv_exact,mat,EPCI,41,84829309.7819308,Feasible,0.02283641437013,3297.65175008774,,
rssv_exact,mat,EPCI,44,83481411.311133,Feasible,0.018476953156284,3311.26866292953,,
rssv_exact,mat,EPCI,48,83763159.7460086,Feasible,0.022544489286509,3297.05012083054,,
rssv_exact,mat,canton,26,66223964.8961379,Feasible,0.046572281651016,3294.78930497169,,
rssv_exact,mat,canton,30,61418832.4880733,Feasible,0.097894271523745,3294.40230488777,,
rssv_exact,mat,canton,33,57136376.4236367,Feasible,0.123744639759059,3299.95653486252,,
rssv_exact,mat,canton,37,53215803.6114308,Feasible,0.137064055614403,3292.32845115662,,
rssv_exact,mat,canton,41,52982797.3466311,Feasible,0.181204159022402,3295.32532906532,,
rssv_exact,mat,canton,44,46435286.5838234,Feasible,0.0897132525316,3312.62734508514,,
rssv_exact,mat,canton,48,49321048.4716096,Feasible,0.141148682887207,3289.26534700394,,
rssv_exact,mat,commune,26,67519242.7171198,Feasible,0.078952197821667,3288.79537701607,,
rssv_exact,mat,commune,30,60918474.1050736,Feasible,0.124400782287989,3291.5295689106,,
rssv_exact,mat,commune,33,58231944.4498747,Feasible,0.157496741524373,3288.53635811806,,
rssv_exact,mat,commune,37,52731483.4266175,Feasible,0.11597798687229,3289.22022199631,,
rssv_exact,mat,commune,41,50413283.1257595,Feasible,0.11399696338923,3283.27387809753,,
rssv_exact,mat,commune,44,49754868.6157763,Feasible,0.13383999465406,3289.14713406563,,
rssv_exact,mat,commune,48,46418804.7285903,Feasible,0.052408998370266,3287.04329800606,,
rssv_exact,urgenc,null,42,46843227.3337865,Feasible,0.092168913628872,3600,,
rssv_exact,urgenc,null,48,42675678.9614682,Feasible,0.078761919564974,3600,,
rssv_exact,urgenc,null,54,36899542.6051624,Feasible,0.005593912975986,3600,,
rssv_exact,urgenc,null,60,34534762.7350149,Feasible,0.000974269385199,3600,,
rssv_exact,urgenc,null,66,32762029.3463318,Feasible,0.001634695273607,3600,,
rssv_exact,urgenc,null,72,30944834.6910004,Feasible,0.002277160770119,3600,,
rssv_exact,urgenc,null,78,29444834.3303639,Feasible,0.002348855159108,3600,,
rssv_exact,urgenc,arrond,42,44161767.6873135,Feasible,0.038574797918552,3295.74736094475,,
rssv_exact,urgenc,arrond,48,42370758.0460316,Feasible,0.089409451892774,3294.53670692444,,
rssv_exact,urgenc,arrond,54,39608531.2015626,Feasible,0.084162879202847,3297.68853998184,,
rssv_exact,urgenc,arrond,60,35551582.8813848,Feasible,0.029242724625272,3292.40899705887,,
rssv_exact,urgenc,arrond,66,32951696.9657842,Feasible,0.008018521541365,3316.75208592415,,
rssv_exact,urgenc,arrond,72,31208450.7021961,Feasible,0.002455405182944,3310.52696204185,,
rssv_exact,urgenc,arrond,78,30683505.2587177,Feasible,0.005401222855251,3291.33012890816,,
rssv_exact,urgenc,EPCI,42,86106354.8356976,Feasible,0.031134854437409,3295.60335111618,,
rssv_exact,urgenc,EPCI,48,87761107.8611351,Feasible,0.055104057617884,3302.18669390678,,
rssv_exact,urgenc,EPCI,54,70026905.605762,Feasible,0.013372527219974,3305.23430490494,,
rssv_exact,urgenc,EPCI,60,46155888.1505729,Feasible,0.011114592609138,3304.97543001175,,
rssv_exact,urgenc,EPCI,66,37813680.6573105,Feasible,0.005884454912113,3308.68020105362,,
rssv_exact,urgenc,EPCI,72,34227477.5224755,Feasible,0.004190042435245,3313.06523513794,,
rssv_exact,urgenc,EPCI,78,31690960.7116559,Feasible,0.002511881465208,3316.79477596283,,
