METHOD,SERVICE,P,SOLUTION,STATUS,REL_GAP,FINAL_TIME
rssv_exact,mat,48,38431988.0407443,Feasible,0.1965175390919,3600
rssv_vns,mat,26,160839404.10737,Feasible,0.682397933320522,3600
rssv_vns,mat,30,124611121.288182,Feasible,0.641494516481577,3600
rssv_vns,mat,33,129998259.388331,Feasible,0.667408585737613,3600
rssv_vns,mat,37,114591028.745806,Feasible,0.671103744242503,3600
rssv_vns,mat,41,107896202.544624,Feasible,0.65007667208453,3600
rssv_vns,mat,44,101495181.772007,Feasible,0.645864071986213,3600
rssv_vns,mat,48,95125284.4172081,Feasible,0.6753814875009,3600
rssv_tb,mat,26,155550648.656563,Feasible,0.671599394864748,3610
rssv_tb,mat,30,142286544.943309,Feasible,0.6860295517964,3609
rssv_tb,mat,33,118075455.107145,Feasible,0.633824786850243,3606
rssv_tb,mat,37,112827617.473828,Feasible,0.665963341762156,3609
rssv_tb,mat,41,105689226.224947,Feasible,0.642769659572505,3606
rssv_tb,mat,44,101504244.085905,Feasible,0.645895689294151,3611
rssv_tb,mat,48,97688104.0062219,Feasible,0.68389776173155,3612
exact,poste,476,77581321.2778522,Optimal,0.000028912060481,796.785578966141
exact,poste,544,76685957.5774072,Optimal,0.000070675095877,376.059423923492
exact,poste,612,76065859.8505556,Optimal,0.000059123513551,355.195868968964
exact,poste,681,75663280.8816587,Optimal,0.000089003257955,208.929743051529
exact,poste,749,75389788.5022951,Optimal,0.00002727351507,198.435050010681
exact,poste,817,75220375.6383182,Optimal,0.000018279605117,318.050889968872
exact,poste,855,75121571.9449422,Optimal,0.000012373027525,150.786092996597
rssv_exact,poste,476,77586186.5533859,Optimal,0.0000916182596732386,1106.59789609909
rssv_exact,poste,544,76685115.1666766,Optimal,0.000059690549640571,629.444697856903
rssv_exact,poste,612,76065352.9928549,Optimal,0.0000524604571985553,429.617215156555
rssv_exact,poste,681,75658244.6615212,Optimal,0.0000224437681097196,334.803302049637
rssv_exact,poste,749,75389646.1420871,Optimal,0.0000253852408502117,406.126991033554
rssv_exact,poste,817,75223538.0608871,Optimal,0.0000603191693613553,258.03724694252
rssv_exact,poste,855,75122716.7681765,Optimal,0.0000276126130695628,167.104943990707
rssv_vns,poste,476,89472852.4150872,Feasible,0.132931653032696,3620
rssv_vns,poste,544,86942167.6408313,Feasible,0.118028226455318,3621
rssv_vns,poste,612,84397621.5110687,Feasible,0.0987736240921846,3634
rssv_vns,poste,681,81991040.4501973,Feasible,0.0772583664295901,3625
rssv_vns,poste,749,80439149.3718883,Feasible,0.0627979914453383,3626
rssv_vns,poste,817,79270116.4361774,Feasible,0.0511052081005113,3628
rssv_vns,poste,855,77966067.6155079,Feasible,0.0364956863782766,3644
rssv_tb,poste,476,89472852.4150872,Feasible,0.132931653032696,3633
rssv_tb,poste,544,86942167.6408317,Feasible,0.118028226455323,3634
rssv_tb,poste,612,84397621.5110687,Feasible,0.0987736240921846,3634
rssv_tb,poste,681,81991040.4501979,Feasible,0.0772583664295963,3639
rssv_tb,poste,749,80439149.3718887,Feasible,0.0627979914453422,3641
rssv_tb,poste,817,79270116.436178,Feasible,0.0511052081005187,3642
rssv_tb,poste,855,77966067.6155079,Feasible,0.0364956863782766,3643
exact,urgenc,42,48386235.0076389,Feasible,0.203447236042855,3600
exact,urgenc,48,42236734.9036984,Feasible,0.15910663850531,3600
exact,urgenc,54,39101221.8521855,Feasible,0.088945394706493,3600
exact,urgenc,60,36043370.8653879,Feasible,0.060146157789543,3600
exact,urgenc,66,35230513.7711819,Feasible,0.097582269502708,3600
exact,urgenc,72,36483243.6844486,Feasible,0.193009729326185,3600
exact,urgenc,78,31235735.3944446,Feasible,0.088845611941457,3600
